System,Context,Exact Match (%),Token F1,Mean generation (s),Median generation (s),Mean available RAM (GB)
No-RAG baseline,None,5.4,0.1205,7.55,6.45,2.49
TinyRAG,1024-char Top-1,37.2,0.5179,10.98,10.37,2.56
