metric,rag,baseline,difference,ci_95_low,ci_95_high
Exact Match,0.372,0.054,0.318,0.276,0.36
Token F1,0.5178895906591003,0.12045827905448599,0.39743131160461437,0.3595248820867532,0.4361876801039874
Mean generation time (sec),10.977332656199986,7.54936036200021,3.4279722941997752,,
Median generation time (sec),10.370396299997083,6.449354699994728,3.9210416000023542,,
Mean available RAM (GB),2.5644471130371094,2.485794548034668,0.0786525650024414,,
