chunk_size,num_questions,num_chunks,recall_at_1,recall_at_5,recall_at_10,mrr,mean_first_gold_rank,mean_retrieval_time_ms,median_retrieval_time_ms,p95_retrieval_time_ms
512,500,1005,0.728,0.936,0.952,0.8165611111111112,1.476890756302521,0.20603400022082496,0.19080000129179095,0.2694049991987413
768,500,651,0.764,0.94,0.97,0.8448380952380953,1.4783505154639176,0.15822700016724411,0.14754999938304536,0.2094150011544115
1024,500,529,0.802,0.952,0.972,0.8679960317460318,1.3724279835390947,0.15112599985150155,0.1370499958284199,0.19684499966388097
